Normal start with HEPAX

s   128    223B  1  1E6   -   7.3C20004094.0.00 || 0000 00000000
s   129    223C  1  01F   -   7.3C20004098.0.00 || 0000 00000000
s   130    223D  1  3C6   -   7.3C20004098.0.00 || 0000 00000000
s   131    223E  1  01B   -   7.3C20004098.0.00 || 0000 00000000
s   132    2241  1  20A   -   7.3C20004098.0.00 || 0000 00000000
s   133    2242  1  01B   -   7.3C20004098.0.00 || 0000 00000000
s   134    2245  1  262   -   7.3C2000409C.1.97 || 0000 00000000
s   135    2246  1  262   -   7.3C2000409C.1.97 || 0000 00000000
s   136    2247  1  10A   -   7.3C2000409B.1.97 || 0000 00000000
s   137    2248  1  270   -   7.3C2000409A.1.97 || 0000 00000000
s   138    2249  1  07C   -   7.3C2000409A.1.97 || 0000 00000000
s   139    224A  1  130   -   F.FFF00FFFFA.1.97 || 0000 00000000
s   140    224B  0  220   -   9.7200073C20.4.09 || 0000 00000000
s   141    224C  1  0FC   -   9.7200073C20.4.09 || 0000 00000000
s   142    224D  1  1E0   -   F.F200073C20.2.20 || 0000 00000000
s   143    220A  1  038   -   7.3C2000220A.1.97 || 0000 00000000
s   144    220B  1  0A3   -   C.2040009C60.0.20 || 0000 00000000
s   145    221F  1  13C   -   C.2040009C60.0.20 || 0000 00000000
s   146    2220  1  3E0   -   0.0000009C60.0.20 || 0000 00000000
s   147    2EE0  1  23E   -   C.600002073C.2.04 || 0000 00000000
s   148    2EE1  1  2D7   -   C.600002073C.2.04 || 0000 00000000
s   149    2EE2  1  0AA   -   C.600002073C.2.04 || 0000 00000000
s   150    2EE3  1  10A   -   C.600002073C.2.04 || 0000 00000000
s   151    2EE4  1  070   -   C.600002073A.1.97 || 0000 00000000
s   152    2EE5  1  34D   -   C.600002073A.1.97 || 0000 00000000
s   153    2EE6  0  0A4   -   C.600002073A.1.97 || 0000 00000000
s   154    29D3  1  1A2   -   C.600002073A.1.97 || 0000 00000000
s   155    29D4  1  037   -   C.600002073A.1.97 || 0000 00000000
s   156    29D5  1  1A2   -   C.600002073A.1.97 || 0000 00000000
s   157    29D6  1  1A2   -   C.600002073A.1.97 || 0000 00000000
s   158    29D7  1  02F   -   C.600002073A.1.97 || 0000 00000000
s   159    29D8  1  1A2   -   C.600002073A.1.97 || 0000 00000000
s   160    29D9  1  3E0   -   C.600002073A.1.97 || 0000 00000000
s   161    2EE7  1  10C   -   C.600002073A.1.97 || 0000 00000000
s   162    2EE8  1  0EB   -   C.600002073A.1.97 || 0000 00000000
s   163    2F05  1  0B0   -   C.600002073A.1.97 || 0000 00000000
s   164    2F06  1  2E6   -   C.600002073A.1.97 || 0000 00000000
s   165    2F07  1  20F   -   C.600002073A.1.97 || 0000 00000000
s   166    2EC8  1  10A   -   C.600002073A.1.97 || 0000 00000000
s   167    2EC9  1  34D   -   C.600002073A.1.97 || 0000 00000000
s   168    2ECA  0  0A4   -   C.600002073A.1.97 || 0000 00000000
s   169    29D3  1  1A2   -   C.600002073A.1.97 || 0000 00000000
s   170    29D4  1  037   -   C.600002073A.1.97 || 0000 00000000
s   171    29D5  1  1A2   -   C.600002073A.1.97 || 0000 00000000
s   172    29D6  1  1A2   -   C.600002073A.1.97 || 0000 00000000
s   173    29D7  1  02F   -   C.600002073A.1.97 || 0000 00000000
s   174    29D8  1  1A2   -   C.600002073A.1.97 || 0000 00000000
s   175    29D9  1  3E0   -   C.600002073A.1.97 || 0000 00000000
s   176    2ECB  1  2ED   -   C.600002073A.1.97 || 0000 00000000
s   177    2ECC  0  0A4   -   C.600002073A.1.97 || 0000 00000000
s   178    29BB  1  0AA   -   C.600002073A.1.97 || 0000 00000000
s   179    29BC  1  10A   -   C.600002073A.1.97 || 0000 00000000
s   180    29BD  1  270   -   C.6000020736.1.97 || 0000 00000000
s   181    29BE  1  07C   -   C.6000020736.1.97 || 0000 00000000
s   182    29BF  1  130   -   F.FFF00FFFF6.1.97 || 0000 00000000
s   183    29C0  0  221   -   9.71900C6002.0.73 || 0000 00000000
s   184    29C1  1  0FC   -   9.71900C6002.0.73 || 0000 00000000
s   185    29C2  1  1E0   -   F.F1900C6002.2.21 || 0000 00000000
s   186    2216  1  038   -   C.6000022216.1.97 || 0000 00000000
s   187    2217  1  053   -   C.2040009C60.0.20 || 0000 00000000
s   188    2221  1  17C   -   C.2040009C60.0.20 || 0000 00000000
s   189    2222  1  3E0   -   F.FFF00FFC60.0.20 || 0000 00000000
s   190    2ECD  1  3D8   -   0.0200073C20.4.09 || 0000 00000000
s   191    2ECE  1  30C   -   0.0200073C20.4.09 || 0000 00000000
s   192    2ECF  1  027   -   0.0200073C20.4.00 || 0000 00000000
s   193    2ED0  1  104   -   0.0200073C20.4.00 || 0000 00000000
s   194    2ED1  1  3D8   -   0.0200073C20.4.00 || 0000 00000000
s   195    2ED2  1  033   -   0.0200073C20.4.00 || 0000 00000000
s   196    2ED8  1  0B0   -   0.0200073C20.4.09 || 0000 00000000
s   197    2ED9  1  10E   -   0.0200073C20.4.09 || 0000 00000000
s   198    2EDA  1  139   -   C.600002073A.1.97 || 0000 00000000
s   199    2EDB  0  088   -   C.600002073A.1.97 || 0000 00000000
s   200    224E  1  0AA   -   C.600002073A.1.97 || 0000 00000000
s   201    224F  1  3C3   -   C.600002073A.1.97 || 0000 00000000
s   202    2247  1  10A   -   C.600002073A.1.97 || 0000 00000000
s   203    2248  1  270   -   C.600002073A.1.97 || 0000 00000000
s   204    2249  1  07C   -   C.600002073A.1.97 || 0000 00000000
s   205    224A  1  130   -   F.FFF00FFFFA.1.97 || 0000 00000000
s   206    224B  0  220   -   9.71900C6002.0.73 || 0000 00000000
s   207    224C  1  0FC   -   9.71900C6002.0.73 || 0000 00000000
s   208    224D  1  1E0   -   F.F1900C6002.2.20 || 0000 00000000
s   209    220A  1  038   -   C.600002220A.1.97 || 0000 00000000
s   210    220B  1  0A3   -   C.2040009C60.0.20 || 0000 00000000
s   211    221F  1  13C   -   C.2040009C60.0.20 || 0000 00000000
s   212    2220  1  3E0   -   0.0000009C60.0.20 || 0000 00000000
s   213    2EDC  1  2E6   -   C.600002073C.2.04 || 0000 00000000
s   214    2EDD  1  303   -   C.600002073C.2.04 || 0000 00000000
s   215    2EDE  1  0D5   -   C.600002073C.2.04 || 0000 00000000
s   216    2EDF  0  088   -   C.600002073C.2.04 || 0000 00000000
s   217    2235  1  042   -   C.600002073C.2.04 || 0000 00000000
s   218    2236  1  1EA   -   C.600002073C.2.04 || 0000 00000000
s   219    2237  1  1EA   -   C.6000020730.2.04 || 0000 00000000
s   220    2238  1  1EA   -   C.6000020730.4.08 || 0000 00000000
s   221    2239  1  222   -   C.6000020730.8.10 || 0000 00000000
s   222    223A  1  1E2   -   C.6000020731.0.20 || 0000 00000000
s   223    223B  1  1E6   -   C.6000020732.0.20 || 0000 00000000
s   224    223C  1  01F   -   C.6000020734.0.20 || 0000 00000000
s   225    223D  1  3C6   -   C.6000020734.0.40 || 0000 00000000
s   226    223E  1  01B   -   C.6000020734.0.40 || 0000 00000000
s   227    2241  1  20A   -   C.6000020734.0.04 || 0000 00000000
s   228    2242  1  01B   -   C.6000020734.0.04 || 0000 00000000
s   229    2245  1  262   -   C.600002073E.1.9B || 0000 00000000
s   230    2246  1  262   -   C.600002073E.1.9B || 0000 00000000
s   231    2247  1  10A   -   C.600002073D.1.9B || 0000 00000000
s   232    2248  1  270   -   C.600002073C.1.9B || 0000 00000000
s   233    2249  1  07C   -   C.600002073C.1.9B || 0000 00000000
s   234    224A  1  130   -   F.FFF00FFFFC.1.9B || 0000 00000000
s   235    224B  0  220   -   9.B0900C6002.0.73 || 0000 00000000
s   236    224C  1  0FC   -   9.B0900C6002.0.73 || 0000 00000000
s   237    224D  1  1E0   -   F.F0900C6002.2.20 || 0000 00000000
s   238    220C  1  038   -   C.600002220C.1.9B || 0000 00000000
s   239    220D  1  0FC   -   0.0F40000454.8.52 || 0000 00000000
s   240    220E  1  3E0   -   0.0F40000454.8.52 || 0000 00000000
s   241    2EE0  1  23E   -   0.045004852C.0.00 || 0000 00000000
s   242    2EE1  1  2D7   -   0.045004852C.0.00 || 0000 00000000
s   243    2EBB  1  2E6   -   0.045004852C.0.00 || 0000 00000000
