XF 000 from keyboard

s   244    2BFC  1  36A   -   0.0000000000.0.20 || 0000 00000000
s   245    2BFD  1  3F3   -   0.0000000000.0.20 || 0000 00000000
s   246    2BFB  1  3F8   -   0.0000000000.0.20 || 0000 00000000
s   247    2BFC  1  36A   -   0.0000000000.0.20 || 0000 00000000
s   248    2BFD  1  3F3   -   0.0000000000.0.20 || 0000 00000000
s   249    2BFB  1  3F8   -   0.0000000000.0.20 || 0000 00000000
s   250    2BFC  1  36A   -   0.0000000000.0.20 || 0000 00000000
s   251    2BFD  1  3F3   -   0.0000000000.0.20 || 0000 00000000
s   252    2BFB  1  3F8   -   0.0000000000.0.20 || 0000 00000000
s   253    2BFC  1  36A   -   0.0000000000.0.20 || 0000 00000000
s   254    2BFD  1  3F3   -   0.0000000000.0.20 || 0000 00000000
s   255    2BFB  1  3F8   -   0.0000000000.0.20 || 0000 00000000
s   256    2BFC  1  36A   -   0.0000000000.0.18 || 0000 00000000
s   257    2BFD  1  3F3   -   0.0000000000.0.18 || 0000 00000000
s   258    2BFE  1  3B8   -   0.0000000000.0.18 || 0000 00000000
s   259    2BFF  1  3E0   -   0.0000000000.0.18 || 0000 00000000
s   260    0E87  1  149   -   0.0000000000.0.18 || 0000 00000000
s   261    0E88  0  024   -   0.0000000000.0.18 || 0000 00000000
s   262    0952  1  046   -   0.0000000000.0.18 || 0000 00000000
s   263    0953  1  3F0   -   0.0000000000.0.18 || 0000 00000000
s   264    0954  1  270   -   0.0000000000.0.00 || 0000 00000000
s   265    0955  1  3E0   -   0.0000000000.0.00 || 0000 00000000
s   266    0E89  1  2B8   -   0.0000000000.0.00 || 0000 00000000
s   267    0E8A  1  10E   -   0.00000001A1.F.50 || 0000 00000000
s   268    0E8B  1  08C   -   0.00000001A1.F.50 || 0000 00000000
s   269    0E8C  1  0A7   -   0.00000001A1.F.50 || 0000 00000000
s   270    0EA0  1  319   -   0.00000001A1.F.50 || 0000 00000000
s   271    0EA1  0  038   -   0.00000001A1.F.50 || 0000 00000000
s   272    0EC6  1  130   -   0.00000001A1.F.50 || 0000 00000000
s   273    0EC7  0  240   -   0.00000001A1.F.50 || 0000 00000000
s   274    0EC8  1  1E6   -   0.00000001A1.F.50 || 0000 00000000
s   275    0EC9  1  3C8   -   0.00000001A1.2.40 || 0000 00000000
s   276    0ECA  1  3CC   -   0.00000001A1.4.80 || 0000 00000000
s   277    0ECB  1  26D   -   0.00000001A1.4.80 || 0000 00000000
s   278    0ECC  0  002   -   0.00000001A1.4.80 || 0000 00000000
s   279    009B  1  130   -   0.00000001A1.4.80 || 0000 00000000
s   280    009C  0  008   -   0.00000001A1.4.80 || 0000 00000000
s   281    009D  1  3C8   -   0.00000001A1.4.80 || 0000 00000000
s   282    009E  1  3CC   -   0.00000001A1.0.08 || 0000 00000000
s   283    009F  1  266   -   0.00000001A1.0.08 || 0000 00000000
s   284    00A0  1  3EB   -   0.00000001A1.0.08 || 0000 00000000
s   285    009D  1  3C8   -   0.00000001A1.0.07 || 0000 00000000
s   286    009E  1  3CC   -   0.00000001A1.0.07 || 0000 00000000
s   287    009F  1  266   -   0.00000001A1.0.07 || 0000 00000000
s   288    00A0  1  3EB   -   0.00000001A1.0.07 || 0000 00000000
s   289    009D  1  3C8   -   0.00000001A1.0.06 || 0000 00000000
s   290    009E  1  3CC   -   0.00000001A1.0.06 || 0000 00000000
s   291    009F  1  266   -   0.00000001A1.0.06 || 0000 00000000
s   292    00A0  1  3EB   -   0.00000001A1.0.06 || 0000 00000000
s   293    009D  1  3C8   -   0.00000001A1.0.05 || 0000 00000000
s   294    009E  1  3CC   -   0.00000001A1.0.05 || 0000 00000000
s   295    009F  1  266   -   0.00000001A1.0.05 || 0000 00000000
s   296    00A0  1  3EB   -   0.00000001A1.0.05 || 0000 00000000
s   297    009D  1  3C8   -   0.00000001A1.0.04 || 0000 00000000
s   298    009E  1  3CC   -   0.00000001A1.0.04 || 0000 00000000
s   299    009F  1  266   -   0.00000001A1.0.04 || 0000 00000000
s   300    00A0  1  3EB   -   0.00000001A1.0.04 || 0000 00000000
s   301    009D  1  3C8   -   0.00000001A1.0.03 || 0000 00000000
s   302    009E  1  3CC   -   0.00000001A1.0.03 || 0000 00000000
s   303    009F  1  266   -   0.00000001A1.0.03 || 0000 00000000
s   304    00A0  1  3EB   -   0.00000001A1.0.03 || 0000 00000000
s   305    009D  1  3C8   -   0.00000001A1.0.02 || 0000 00000000
s   306    009E  1  3CC   -   0.00000001A1.0.02 || 0000 00000000
s   307    009F  1  266   -   0.00000001A1.0.02 || 0000 00000000
s   308    00A0  1  3EB   -   0.00000001A1.0.02 || 0000 00000000
s   309    009D  1  3C8   -   0.00000001A1.0.01 || 0000 00000000
s   310    009E  1  3CC   -   0.00000001A1.0.01 || 0000 00000000
s   311    009F  1  266   -   0.00000001A1.0.01 || 0000 00000000
s   312    00A0  1  3EB   -   0.00000001A1.0.01 || 0000 00000000
s   313    009D  1  3C8   -   0.00000001A1.0.00 || 0000 00000000
s   314    009E  1  3CC   -   0.00000001A1.0.00 || 0000 00000000
s   315    009F  1  266   -   0.00000001A1.0.00 || 0000 00000000
s   316    00A0  1  3EB   -   0.00000001A1.0.00 || 0000 00000000
s   317    00A1  1  3E0   -   0.00000001A1.F.FF || 0000 00000000
s   318    0EA2  1  043   -   0.00000001A1.F.FF || 0000 00000000
s   319    0EAA  1  395   -   0.00000001A1.F.FF || 0000 00000000
s   320    0EAB  0  1BC   -   0.00000001A1.F.FF || 0000 00000000
s   321    6FE5  1  000   -   0.00000001A1.F.FF || 0000 00000000
s   322    0EAC  1  211   -   0.00000001A1.F.FF || 0000 00000000
s   323    0EAD  0  00C   -   0.00000001A1.F.FF || 0000 00000000
s   324    0384  1  2C4   -   0.00000001A1.F.FF || 0000 00000000
s   325    0385  1  3B8   -   0.00000001A1.F.FF || 0000 00000000
s   326    0386  1  23C   -   0.001003C048.2.20 || 0000 00000000
s   327    0387  1  358   -   0.0000000000.0.20 || 0000 00000000
s   328    0388  1  304   -   0.00000013C0.4.82 || 0000 00000000
s   329    0389  1  398   -   0.00000013C0.4.82 || 0000 00000000
s   330    038A  1  37C   -   0.00000013C0.4.82 || 0000 00000000
s   331    038B  1  358   -   0.00000013C0.4.80 || 0000 00000000
s   332    038C  1  304   -   0.001003C048.0.20 || 0000 00000000
s   333    038D  1  02B   -   0.001003C048.0.20 || 0000 00000000
s   334    0392  1  17C   -   0.001003C048.0.20 || 0000 00000000
s   335    0393  1  3D8   -   0.0000000048.0.20 || 0000 00000000
s   336    0394  1  304   -   8.0200000000.1.3C || 0000 00000000
s   337    0395  1  3D8   -   8.0200000000.1.20 || 0000 00000000
s   338    0396  1  0FC   -   8.0200000000.1.20 || 0000 00000000
s   339    0397  1  3D8   -   0.0200000000.1.3C || 0000 00000000
s   340    0398  1  384   -   0.00000013C0.4.80 || 0000 00000000
s   341    0399  1  204   -   0.00000013C0.4.20 || 0000 00000000
s   342    039A  1  3D8   -   0.00000013C0.4.20 || 0000 00000000
s   343    039B  1  37C   -   0.00000013C0.4.20 || 0000 00000000
s   344    039C  1  084   -   0.00000013C0.4.80 || 0000 00000000
s   345    039D  1  398   -   0.001003C048.0.20 || 0000 00000000
s   346    039E  1  3A8   -   0.001003C048.0.20 || 0000 00000000
s   347    039F  1  3E0   -   0.001003C048.0.00 || 0000 00000000
s   348    0EAE  1  39C   -   0.001003C048.0.00 || 0000 00000000
s   349    0EAF  1  098   -   0.001003C048.0.00 || 0000 00000000
s   350    0EB0  1  3D8   -   0.001003C048.0.00 || 0000 00000000
s   351    0EB1  1  04C   -   0.001003C048.0.25 || 0000 00000000
s   352    0EB2  1  03B   -   0.001003C048.0.00 || 0000 00000000
s   353    0EB9  1  3D8   -   0.001003C048.0.00 || 0000 00000000
s   354    0EBA  1  04E   -   0.001003C048.0.00 || 0000 00000000
s   355    0EBB  1  05C   -   0.001003C048.0.25 || 0000 00000000
s   356    0EBC  1  3D0   -   0.0000000000.0.00 || 0000 00000000
s   357    0EBD  1  170   -   0.0000000000.0.00 || 0000 00000000
s   358    0EBE  1  0AE   -   0.00000000F0.0.00 || 0000 00000000
s   359    0EBF  1  0BC   -   0.00000000F0.0.00 || 0000 00000000
s   360    0EC0  1  2FE   -   F.FFF00FFFA1.F.50 || 0000 00000000
s   361    0EC1  1  16D   -   F.5000000000.0.01 || 0000 00000000
s   362    0EC2  0  007   -   F.5000000000.0.01 || 0000 00000000
s   363    015B  1  130   -   F.5000000000.0.01 || 0000 00000000
s   364    015C  0  006   -   F.5000000000.0.01 || 0000 00000000
s   365    015D  1  270   -   F.5000000000.0.01 || 0000 00000000
