after entering XF 000 do a BST, shows XROM 07,53

s   347    0178  1  3FB   -   0.001003C048.0.27 || 0000 00000000
s   348    0177  1  266   -   0.001003C048.0.26 || 0000 00000000
s   349    0178  1  3FB   -   0.001003C048.0.26 || 0000 00000000
s   350    0177  1  266   -   0.001003C048.0.25 || 0000 00000000
s   351    0178  1  3FB   -   0.001003C048.0.25 || 0000 00000000
s   352    0177  1  266   -   0.001003C048.0.24 || 0000 00000000
s   353    0178  1  3FB   -   0.001003C048.0.24 || 0000 00000000
s   354    0177  1  266   -   0.001003C048.0.23 || 0000 00000000
s   355    0178  1  3FB   -   0.001003C048.0.23 || 0000 00000000
s   356    0177  1  266   -   0.001003C048.0.22 || 0000 00000000
s   357    0178  1  3FB   -   0.001003C048.0.22 || 0000 00000000
s   358    0177  1  266   -   0.001003C048.0.21 || 0000 00000000
s   359    0178  1  3FB   -   0.001003C048.0.21 || 0000 00000000
s   360    0177  1  266   -   0.001003C048.0.20 || 0000 00000000
s   361    0178  1  3FB   -   0.001003C048.0.20 || 0000 00000000
s   362    0177  1  266   -   0.001003C048.0.1F || 0000 00000000
s   363    0178  1  3FB   -   0.001003C048.0.1F || 0000 00000000
s   364    0177  1  266   -   0.001003C048.0.1E || 0000 00000000
s   365    0178  1  3FB   -   0.001003C048.0.1E || 0000 00000000
s   366    0177  1  266   -   0.001003C048.0.1D || 0000 00000000
s   367    0178  1  3FB   -   0.001003C048.0.1D || 0000 00000000
s   368    0177  1  266   -   0.001003C048.0.1C || 0000 00000000
s   369    0178  1  3FB   -   0.001003C048.0.1C || 0000 00000000
s   370    0177  1  266   -   0.001003C048.0.1B || 0000 00000000
s   371    0178  1  3FB   -   0.001003C048.0.1B || 0000 00000000
s   372    0177  1  266   -   0.001003C048.0.1A || 0000 00000000
s   373    0178  1  3FB   -   0.001003C048.0.1A || 0000 00000000
s   374    0177  1  266   -   0.001003C048.0.19 || 0000 00000000
s   375    0178  1  3FB   -   0.001003C048.0.19 || 0000 00000000
s   376    0177  1  266   -   0.001003C048.0.18 || 0000 00000000
s   377    0178  1  3FB   -   0.001003C048.0.18 || 0000 00000000
s   378    0177  1  266   -   0.001003C048.0.17 || 0000 00000000
s   379    0178  1  3FB   -   0.001003C048.0.17 || 0000 00000000
s   380    0177  1  266   -   0.001003C048.0.16 || 0000 00000000
s   381    0178  1  3FB   -   0.001003C048.0.16 || 0000 00000000
s   382    0177  1  266   -   0.001003C048.0.15 || 0000 00000000
s   383    0178  1  3FB   -   0.001003C048.0.15 || 0000 00000000
s   384    0177  1  266   -   0.001003C048.0.14 || 0000 00000000
s   385    0178  1  3FB   -   0.001003C048.0.14 || 0000 00000000
s   386    0177  1  266   -   0.001003C048.0.13 || 0000 00000000
s   387    0178  1  3FB   -   0.001003C048.0.13 || 0000 00000000
s   388    0177  1  266   -   0.001003C048.0.12 || 0000 00000000
s   389    0178  1  3FB   -   0.001003C048.0.12 || 0000 00000000
s   390    0177  1  266   -   0.001003C048.0.11 || 0000 00000000
s   391    0178  1  3FB   -   0.001003C048.0.11 || 0000 00000000
s   392    0177  1  266   -   0.001003C048.0.10 || 0000 00000000
s   393    0178  1  3FB   -   0.001003C048.0.10 || 0000 00000000
s   394    0177  1  266   -   0.001003C048.0.0F || 0000 00000000
s   395    0178  1  3FB   -   0.001003C048.0.0F || 0000 00000000
s   396    0177  1  266   -   0.001003C048.0.0E || 0000 00000000
s   397    0178  1  3FB   -   0.001003C048.0.0E || 0000 00000000
s   398    0177  1  266   -   0.001003C048.0.0D || 0000 00000000
s   399    0178  1  3FB   -   0.001003C048.0.0D || 0000 00000000
s   400    0177  1  266   -   0.001003C048.0.0C || 0000 00000000
