Enter XF 000 in PRGM mode

s   273    2BFB  1  3F8   -   0.0000000000.0.20 || 0000 00000000
s   274    2BFC  1  36A   -   0.0000000000.0.30 || 0000 00000000
s   275    2BFD  1  3F3   -   0.0000000000.0.30 || 0000 00000000
s   276    2BFE  1  3B8   -   0.0000000000.0.30 || 0000 00000000
s   277    2BFF  1  3E0   -   0.0000000000.0.30 || 0000 00000000
s   278    0F52  1  149   -   0.0000000000.0.30 || 0000 00000000
s   279    0F53  0  024   -   0.0000000000.0.30 || 0000 00000000
s   280    0952  1  046   -   0.0000000000.0.30 || 0000 00000000
s   281    0953  1  3F0   -   0.0000000000.0.30 || 0000 00000000
s   282    0954  1  270   -   0.0000000000.0.00 || 0000 00000000
s   283    0955  1  3E0   -   0.0000000000.0.00 || 0000 00000000
s   284    0F54  1  278   -   0.0000000000.0.00 || 0000 00000000
s   285    0F55  1  0E0   -   0.0000000004.6.58 || 0000 00000000
s   286    0F56  1  2DC   -   0.0000000004.6.58 || 0000 00000000
s   287    0F57  1  0A0   -   0.0000000004.6.58 || 0000 00000000
s   288    0F58  1  21C   -   0.0000000004.6.58 || 0000 00000000
s   289    0F59  1  2F2   -   0.0000000004.6.58 || 0000 00000000
s   290    0F5A  1  325   -   0.0000000004.6.58 || 0000 00000000
s   291    0F5B  0  018   -   0.0000000004.6.58 || 0000 00000000
s   292    0F5C  1  066   -   0.0000000004.6.58 || 0000 00000000
s   293    0F5D  1  130   -   0.0000000004.6.58 || 0000 00000000
s   294    0F5E  0  01E   -   0.0000000004.6.58 || 0000 00000000
s   295    0F5F  1  31C   -   0.0000000004.6.58 || 0000 00000000
s   296    0F60  1  36A   -   0.0000000004.0.1E || 0000 00000000
s   297    0F61  1  1CF   -   0.0000000004.0.1E || 0000 00000000
s   298    0F62  1  278   -   0.0000000004.0.1E || 0000 00000000
s   299    0F63  1  158   -   0.0000000004.6.58 || 0000 00000000
s   300    0F64  1  315   -   0.0000000004.6.58 || 0000 00000000
s   301    0F65  0  098   -   0.0000000004.6.58 || 0000 00000000
s   302    26C5  1  378   -   0.0000000004.6.58 || 0000 00000000
s   303    26C6  1  01C   -   7.001006919C.1.95 || 0000 00000000
s   304    26C7  1  110   -   7.001006919C.1.95 || 0000 00000000
s   305    26C8  1  01C   -   7.001006919C.1.95 || 0000 00000000
s   306    26C9  1  10A   -   7.0010069194.1.95 || 0000 00000000
s   307    26CA  1  270   -   7.0010069194.1.95 || 0000 00000000
s   308    26CB  1  038   -   7.0010069194.1.95 || 0000 00000000
s   309    26CC  1  23C   -   0.0000000C00.2.2F || 0000 00000000
s   310    26CD  1  2E6   -   0.0000000000.0.2F || 0000 00000000
s   311    26CE  1  035   -   0.000000000C.0.02 || 0000 00000000
s   312    26CF  0  09A   -   0.000000000C.0.02 || 0000 00000000
s   313    26D0  1  0D5   -   0.000000000C.0.02 || 0000 00000000
s   314    26D1  0  088   -   0.000000000C.0.02 || 0000 00000000
s   315    2235  1  042   -   0.000000000C.0.02 || 0000 00000000
s   316    2236  1  1EA   -   0.000000000C.0.02 || 0000 00000000
s   317    2237  1  1EA   -   0.0000000000.0.02 || 0000 00000000
s   318    2238  1  1EA   -   0.0000000000.0.04 || 0000 00000000
s   319    2239  1  222   -   0.0000000000.0.08 || 0000 00000000
s   320    223A  1  1E2   -   0.0000000000.0.10 || 0000 00000000
s   321    223B  1  1E6   -   0.0000000001.0.10 || 0000 00000000
s   322    223C  1  01F   -   0.0000000002.0.10 || 0000 00000000
s   323    223D  1  3C6   -   0.0000000002.0.20 || 0000 00000000
s   324    223E  1  01B   -   0.0000000002.0.20 || 0000 00000000
s   325    2241  1  20A   -   0.0000000002.0.02 || 0000 00000000
s   326    2242  1  01B   -   0.0000000002.0.02 || 0000 00000000
s   327    2245  1  262   -   0.0000000006.1.97 || 0000 00000000
